ID,TITULO,ARTISTA,GENERO,ANO
44,Loca,Shakira,Colombian Pop,2010
45,You Lost Me,Christina Aguilera,Dance Pop,2010
46,Not Myself Tonight,Christina Aguilera,Dance Pop,2010
47,Written in the Stars (feat. Eric Turner),Tinie Tempah,Dance Pop,2010
48,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,Atl Hip Hop,2010
49,Castle Walls (feat. Christina Aguilera),T.I.,Atl Hip Hop,2010
50,Break Your Heart,Taio Cruz,Dance Pop,2010
51,Hello,Martin Solveig,Big Room,2010
52,A Thousand Years,Christina Perri,Dance Pop,2011
53,Someone Like You,Adele,British Soul,2011
54,Give Me Everything,Pitbull,Dance Pop,2011
55,Just the Way You Are,Bruno Mars,Pop,2011
56,Rolling in the Deep,Adele,British Soul,2011
57,Run the World (Girls),Beyoncé,Dance Pop,2011
58,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,Pop,2011
59,Love On Top,Beyoncé,Dance Pop,2011
60,Grenade,Bruno Mars,Pop,2011
61,Tonight Tonight,Hot Chelle Rae,Dance Pop,2011
62,What the Hell,Avril Lavigne,Canadian Pop,2011
63,Born This Way,Lady Gaga,Dance Pop,2011
64,Monster,Kanye West,Chicago Rap,2011
65,Marry You,Bruno Mars,Pop,2011
66,Best Thing I Never Had,Beyoncé,Dance Pop,2011
67,Party Rock Anthem,LMFAO,Dance Pop,2011
68,We R Who We R,Kesha,Dance Pop,2011
69,Price Tag,Jessie J,Australian Pop,2011
70,Good Life,OneRepublic,Dance Pop,2011
71,Just Can’t Get Enough,The Black Eyed Peas,Dance Pop,2011
72,On The Floor,Jennifer Lopez,Dance Pop,2011
73,What's My Name?,Rihanna,Barbadian Pop,2011
74,Yeah 3x,Chris Brown,Dance Pop,2011
75,Without You (feat. Usher),David Guetta,Dance Pop,2011
76,Sexy And I Know It,LMFAO,Dance Pop,2011
77,The Edge Of Glory,Lady Gaga,Dance Pop,2011
78,E.T.,Katy Perry,Dance Pop,2011
79,Till the World Ends,Britney Spears,Dance Pop,2011
80,I Wanna Go,Britney Spears,Dance Pop,2011
81,Blow,Kesha,Dance Pop,2011
82,You And I,Lady Gaga,Dance Pop,2011
83,Judas,Lady Gaga,Dance Pop,2011
84,Tonight (I'm Fuckin' You),Enrique Iglesias,Dance Pop,2011
85,Please Don't Go,Mike Posner,Dance Pop,2011
86,We Found Love,Rihanna,Barbadian Pop,2011
87,Marry The Night,Lady Gaga,Dance Pop,2011
88,1+1,Beyoncé,Dance Pop,2011
89,Hold It Against Me,Britney Spears,Dance Pop,2011
90,I'm Into You,Jennifer Lopez,Dance Pop,2011
91,Papi,Jennifer Lopez,Dance Pop,2011
92,Cheers (Drink To That),Rihanna,Barbadian Pop,2011
93,S&M Remix,Rihanna,Barbadian Pop,2011
94,Written in the Stars (feat. Eric Turner),Tinie Tempah,Dance Pop,2011
95,Jar of Hearts,Christina Perri,Dance Pop,2011
96,Castle Walls (feat. Christina Aguilera),T.I.,Atl Hip Hop,2011
97,Turning Page,Sleeping At Last,Acoustic Pop,2011
98,Super Bass,Nicki Minaj,Dance Pop,2011
99,Raise Your Glass,P!nk,Dance Pop,2011
100,Invading My Mind,Jennifer Lopez,Dance Pop,2011
101,Moment 4 Life - Album Version (Edited),Nicki Minaj,Dance Pop,2011
102,Last Friday Night (T.G.I.F.),Katy Perry,Dance Pop,2011
103,Firework,Katy Perry,Dance Pop,2011
104,Muny - Album Version (Edited),Nicki Minaj,Dance Pop,2011
105,Titanium (feat. Sia),David Guetta,Dance Pop,2012
106,Locked Out of Heaven,Bruno Mars,Pop,2012
107,Paradise,Coldplay,Permanent Wave,2012
108,Payphone,Maroon 5,Pop,2012
109,What Makes You Beautiful,One Direction,Boy Band,2012
110,I Knew You Were Trouble.,Taylor Swift,Pop,2012
111,Call Me Maybe,Carly Rae Jepsen,Canadian Pop,2012
112,Love You Like A Love Song,Selena Gomez & The Scene,Dance Pop,2012
113,Set Fire to the Rain,Adele,British Soul,2012
114,We Are Never Ever Getting Back Together,Taylor Swift,Pop,2012
115,Stronger (What Doesn't Kill You),Kelly Clarkson,Dance Pop,2012
116,Try,P!nk,Dance Pop,2012
117,Starships,Nicki Minaj,Dance Pop,2012
118,One More Night,Maroon 5,Pop,2012
119,Good Time,Owl City,Pop,2012
120,Glad You Came,The Wanted,Boy Band,2012
121,Beauty And A Beat,Justin Bieber,Canadian Pop,2012
122,International Love,Pitbull,Dance Pop,2012
123,Some Nights,fun.,Baroque Pop,2012
124,Boyfriend,Justin Bieber,Canadian Pop,2012
125,Part Of Me,Katy Perry,Dance Pop,2012
126,Domino,Jessie J,Australian Pop,2012
127,Where Have You Been,Rihanna,Barbadian Pop,2012
128,Wide Awake,Katy Perry,Dance Pop,2012
129,The One That Got Away,Katy Perry,Dance Pop,2012
130,Dance Again,Jennifer Lopez,Dance Pop,2012
131,Turn Up the Music,Chris Brown,Dance Pop,2012
132,Lights - Single Version,Ellie Goulding,Dance Pop,2012
133,We Are Young (feat. Janelle Monáe),fun.,Baroque Pop,2012
134,Diamonds,Rihanna,Barbadian Pop,2012
135,Don't Stop the Party (feat. TJR),Pitbull,Dance Pop,2012
136,You Da One,Rihanna,Barbadian Pop,2012
137,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,Dance Pop,2012
138,It Will Rain,Bruno Mars,Pop,2012
139,Blow Me (One Last Kiss),P!nk,Dance Pop,2012
140,Underneath the Tree,Kelly Clarkson,Dance Pop,2013
141,Wake Me Up,Avicii,Big Room,2013
142,Story of My Life,One Direction,Boy Band,2013
143,Just Give Me a Reason (feat. Nate Ruess),P!nk,Dance Pop,2013
144,Hall of Fame,The Script,Celtic Rock,2013
145,Roar,Katy Perry,Dance Pop,2013
146,We Can't Stop,Miley Cyrus,Dance Pop,2013
147,Don't You Worry Child - Radio Edit,Swedish House Mafia,Big Room,2013
148,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,Electro,2013
149,Wrecking Ball,Miley Cyrus,Dance Pop,2013
150,Impossible,James Arthur,Pop,2013
151,Blurred Lines,Robin Thicke,Dance Pop,2013
152,Heart Attack,Demi Lovato,Dance Pop,2013
153,We Are Never Ever Getting Back Together,Taylor Swift,Pop,2013
154,Die Young,Kesha,Dance Pop,2013
155,Clarity,Zedd,Complextro,2013
156,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,Art Pop,2013
157,Under Control,Calvin Harris,Dance Pop,2013
158,Everybody Talks,Neon Trees,Indie Pop,2013
160,Best Song Ever,One Direction,Boy Band,2013
161,Kiss You,One Direction,Boy Band,2013
162,Sweet Nothing (feat. Florence Welch),Calvin Harris,Dance Pop,2013
163,Lose Yourself to Dance,Daft Punk,Electro,2013
164,Work Bitch,Britney Spears,Dance Pop,2013
165,Brave,Sara Bareilles,Acoustic Pop,2013
166,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,Dance Pop,2013
167,Feel This Moment (feat. Christina Aguilera),Pitbull,Dance Pop,2013
168,Beneath Your Beautiful,Labrinth,Pop,2013
169,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,Dance Pop,2013
170,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,Dance Pop,2013
171,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,Dance Pop,2013
172,The Way,Ariana Grande,Dance Pop,2013
173,Suit & Tie,Justin Timberlake,Dance Pop,2013
174,#thatPOWER,will.i.am,Dance Pop,2013
175,I Love It (feat. Charli XCX),Icona Pop,Candy Pop,2013
176,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,Dance Pop,2013
177,Daylight,Maroon 5,Pop,2013
178,Love Somebody,Maroon 5,Pop,2013
179,A Little Party Never Killed Nobody (All We Got),Fergie,Dance Pop,2013
180,Move,Little Mix,Dance Pop,2013
181,Walks Like Rihanna,The Wanted,Boy Band,2013
182,Rock N Roll,Avril Lavigne,Canadian Pop,2013
183,Heartbreaker,Justin Bieber,Canadian Pop,2013
184,Mirrors - Radio Edit,Justin Timberlake,Dance Pop,2013
185,Next To Me,Emeli Sandé,Dance Pop,2013
186,Made In The USA,Demi Lovato,Dance Pop,2013
187,Clown,Emeli Sandé,Dance Pop,2013
188,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,Hip Pop,2013
189,TKO,Justin Timberlake,Dance Pop,2013
190,Come & Get It,Selena Gomez,Dance Pop,2013
191,Live It Up,Jennifer Lopez,Dance Pop,2013
192,We Own The Night,The Wanted,Boy Band,2013
193,Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,Permanent Wave,2013
194,What About Love,Austin Mahone,Dance Pop,2013
195,Take Back the Night,Justin Timberlake,Dance Pop,2013
196,Applause,Lady Gaga,Dance Pop,2013
197,Anything Could Happen,Ellie Goulding,Dance Pop,2013
198,Finally Found You,Enrique Iglesias,Dance Pop,2013
199,Pom Poms,Jonas Brothers,Boy Band,2013
200,#Beautiful,Mariah Carey,Dance Pop,2013
201,How Ya Doin'? (feat. Missy Elliott),Little Mix,Dance Pop,2013
202,Crazy Kids (feat. will.i.am),Kesha,Dance Pop,2013
203,Ooh La La (from "The Smurfs 2"),Britney Spears,Dance Pop,2013
204,People Like Us,Kelly Clarkson,Dance Pop,2013
205,Overdose,Ciara,Dance Pop,2013
206,Right Now - Dyro Radio Edit,Rihanna,Barbadian Pop,2013
207,Give It 2 U,Robin Thicke,Dance Pop,2013
208,Foolish Games,Jewel,Alaska Indie,2013
209,Outta Nowhere (feat. Danny Mercer),Pitbull,Dance Pop,2013
210,Freak,Kelly Rowland,Atl Hip Hop,2013
211,All of Me,John Legend,Neo Mellow,2014
212,Stay With Me,Sam Smith,Pop,2014
213,Summer,Calvin Harris,Dance Pop,2014
214,Happy - From "Despicable Me 2",Pharrell Williams,Dance Pop,2014
215,Rude,MAGIC!,Pop,2014
216,Shake It Off,Taylor Swift,Pop,2014
217,Dark Horse,Katy Perry,Dance Pop,2014
218,Hey Brother,Avicii,Big Room,2014
219,Maps,Maroon 5,Pop,2014
220,Treasure,Bruno Mars,Pop,2014
221,Let Her Go,Passenger,Folk-Pop,2014
222,Problem,Ariana Grande,Dance Pop,2014
223,Pompeii,Bastille,Metropopolis,2014
224,Team,Lorde,Art Pop,2014
225,Love Me Again,John Newman,Pop,2014
226,Latch,Disclosure,House,2014
227,Adore You,Miley Cyrus,Dance Pop,2014
228,Love Never Felt So Good,Michael Jackson,Pop,2014
229,Burn,Ellie Goulding,Dance Pop,2014
230,She Looks So Perfect,5 Seconds of Summer,Boy Band,2014
231,Fancy,Iggy Azalea,Australian Hip Hop,2014
232,Talk Dirty (feat. 2 Chainz),Jason Derulo,Dance Pop,2014
233,Gorilla,Bruno Mars,Pop,2014
234,human,Christina Perri,Dance Pop,2014
235,Young Girls,Bruno Mars,Pop,2014
236,Wiggle (feat. Snoop Dogg),Jason Derulo,Dance Pop,2014
237,Love Runs Out,OneRepublic,Dance Pop,2014
238,This Is How We Do,Katy Perry,Dance Pop,2014
239,Mmm Yeah (feat. Pitbull),Austin Mahone,Dance Pop,2014
240,A Little Party Never Killed Nobody (All We Got),Fergie,Dance Pop,2014
241,#SELFIE,The Chainsmokers,Electropop,2014
242,Partition,Beyoncé,Dance Pop,2014
243,Birthday,Katy Perry,Dance Pop,2014
244,G.U.Y.,Lady Gaga,Dance Pop,2014
245,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,Complextro,2014
246,Let It Go - From "Frozen / Single Version,Demi Lovato,Dance Pop,2014
247,Wings,Birdy,Neo Mellow,2014
248,Can't Remember to Forget You (feat. Rihanna),Shakira,Colombian Pop,2014
249,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,Dance Pop,2014
250,Say Something,A Great Big World,Neo Mellow,2014
251,A Sky Full of Stars,Coldplay,Permanent Wave,2014
252,Come Get It Bae,Pharrell Williams,Dance Pop,2014
253,Chandelier,Sia,Australian Dance,2014
254,XO,Beyoncé,Dance Pop,2014
255,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,Dance Pop,2014
256,Not About Angels,Birdy,Neo Mellow,2014
257,Drunk in Love,Beyoncé,Dance Pop,2014
258,Anaconda,Nicki Minaj,Dance Pop,2014
259,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,Candy Pop,2014
260,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,Colombian Pop,2014
261,Tee Shirt - Soundtrack Version,Birdy,Neo Mellow,2014
262,Words as Weapons,Birdy,Neo Mellow,2014
263,You're Mine (Eternal),Mariah Carey,Dance Pop,2014
264,Sheezus,Lily Allen,Dance Pop,2014
265,Cannonball,Lea Michele,Hollywood,2014
266,It's On Again - Main Soundtrack,Alicia Keys,Hip Pop,2014
267,I Luh Ya Papi,Jennifer Lopez,Dance Pop,2014
268,Not a Bad Thing,Justin Timberlake,Dance Pop,2014
269,Thinking out Loud,Ed Sheeran,Pop,2015
270,I'm Not The Only One,Sam Smith,Pop,2015
271,The Hills,The Weeknd,Canadian Contemporary R&B,2015
272,Love Yourself,Justin Bieber,Canadian Pop,2015
273,Uptown Funk,Mark Ronson,Dance Pop,2015
274,Take Me To Church,Hozier,Irish Singer-Songwriter,2015
275,Sugar,Maroon 5,Pop,2015
276,Sorry,Justin Bieber,Canadian Pop,2015
277,FourFiveSeconds,Rihanna,Barbadian Pop,2015
278,Love Me Like You Do - From "Fifty Shades Of Grey",Ellie Goulding,Dance Pop,2015
279,Earned It (Fifty Shades Of Grey) - From The "Fifty Shades Of Grey" Soundtrack,The Weeknd,Canadian Contemporary R&B,2015
280,What Do You Mean?,Justin Bieber,Canadian Pop,2015
281,Stitches,Shawn Mendes,Canadian Pop,2015
282,Want to Want Me,Jason Derulo,Dance Pop,2015
283,My House,Flo Rida,Dance Pop,2015
284,Waves - Robin Schulz Radio Edit,Mr. Probz,Tropical House,2015
285,Night Changes,One Direction,Boy Band,2015
286,How Deep Is Your Love,Calvin Harris,Dance Pop,2015
287,Never Forget You,Zara Larsson,Dance Pop,2015
288,Love Me Harder,Ariana Grande,Dance Pop,2015
289,Animals,Maroon 5,Pop,2015
290,Blame,Calvin Harris,Dance Pop,2015
291,Worth It,Fifth Harmony,Dance Pop,2015
292,Break Free,Ariana Grande,Dance Pop,2015
293,Don't,Ed Sheeran,Pop,2015
294,Elastic Heart,Sia,Australian Dance,2015
295,Rather Be (feat. Jess Glynne),Clean Bandit,Dance Pop,2015
296,Hello,Adele,British Soul,2015
297,Dear Future Husband,Meghan Trainor,Dance Pop,2015
298,43776,Beyoncé,Dance Pop,2015
299,The Heart Wants What It Wants,Selena Gomez,Dance Pop,2015
301,Genie In a Bottle,Christina Aguilera,Dance Pop,2015
302,Company,Justin Bieber,Canadian Pop,2015
303,Sing,Ed Sheeran,Pop,2015
304,Jealous - Remix,Nick Jonas,Dance Pop,2015
305,Really Don't Care,Demi Lovato,Dance Pop,2015
307,Only Love Can Hurt Like This,Paloma Faith,British Soul,2015
308,Heartbeat Song,Kelly Clarkson,Dance Pop,2015
309,Up,Olly Murs,Dance Pop,2015
310,Trumpets,Jason Derulo,Dance Pop,2015
311,Runnin' (Lose It All),Naughty Boy,Tropical House,2015
312,Same Old Love,Selena Gomez,Dance Pop,2015
313,I Want You To Know,Zedd,Complextro,2015
314,Lips Are Movin,Meghan Trainor,Dance Pop,2015
315,I'll Show You,Justin Bieber,Canadian Pop,2015
316,Here,Alessia Cara,Canadian Contemporary R&B,2015
317,I Lived,OneRepublic,Dance Pop,2015
318,Fireball (feat. John Ryan),Pitbull,Dance Pop,2015
319,Easy Love,Sigala,Dance Pop,2015
320,The Feeling,Justin Bieber,Canadian Pop,2015
321,I Really Like You,Carly Rae Jepsen,Canadian Pop,2015
322,BO$$,Fifth Harmony,Dance Pop,2015
323,Sugar,Maroon 5,Pop,2015
324,Focus,Ariana Grande,Dance Pop,2015
325,All About That Bass,Meghan Trainor,Dance Pop,2015
326,On My Mind,Ellie Goulding,Dance Pop,2015
327,Love Me Like You,Little Mix,Dance Pop,2015
328,Broken Arrows,Avicii,Big Room,2015
329,Booty,Jennifer Lopez,Dance Pop,2015
330,What Do You Mean? - Acoustic,Justin Bieber,Canadian Pop,2015
331,Mark My Words,Justin Bieber,Canadian Pop,2015
332,Lay It All on Me,Rudimental,Dance Pop,2015
333,American Oxygen,Rihanna,Barbadian Pop,2015
334,Bang Bang,Jessie J,Australian Pop,2015
335,Reality - Radio Edit,Lost Frequencies,Belgian Edm,2015
336,Alive,Sia,Australian Dance,2015
337,Sugar (feat. Francesco Yates),Robin Schulz,Dance Pop,2015
338,Been You,Justin Bieber,Canadian Pop,2015
339,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,French Indie Pop,2015
340,See You Again (feat. Charlie Puth),Wiz Khalifa,Hip Hop,2015
341,Heroes (we could be),Alesso,Big Room,2015
342,Feel The Light - From The "Home" Soundtrack,Jennifer Lopez,Dance Pop,2015
343,Perfect,One Direction,Boy Band,2015
344,Ghosttown,Madonna,Dance Pop,2015
345,Bang My Head (feat. Sia & Fetty Wap),David Guetta,Dance Pop,2015
346,Bloodstream,Ed Sheeran,Pop,2015
347,Living For Love,Madonna,Dance Pop,2015
348,Baby Don't Lie,Gwen Stefani,Dance Pop,2015
349,Don't Be so Hard on Yourself,Jess Glynne,Dance Pop,2015
350,Steal My Girl,One Direction,Boy Band,2015
351,Celebrate (From the Original Motion Picture "Penguins of Madagascar"),Pitbull,Dance Pop,2015
352,We Are Here,Alicia Keys,Hip Pop,2015
353,St Jude,Florence + The Machine,Art Pop,2015
354,Yesterday (feat. Bebe Rexha),David Guetta,Dance Pop,2015
355,Time of Our Lives,Pitbull,Dance Pop,2015
356,Sparks,Hilary Duff,Dance Pop,2015
357,Mr. Put It Down,Ricky Martin,Dance Pop,2015
358,Legendary Lovers,Katy Perry,Dance Pop,2015
359,Spark The Fire,Gwen Stefani,Dance Pop,2015
360,Run Run Run,Kelly Clarkson,Dance Pop,2015
361,Let Me Be Your Lover,Enrique Iglesias,Dance Pop,2015
362,Dangerous,Jennifer Hudson,Dance Pop,2015
363,L.A.LOVE (la la),Fergie,Dance Pop,2015
364,The Hills,The Weeknd,Canadian Contemporary R&B,2016
365,Love Yourself,Justin Bieber,Canadian Pop,2016
366,Cake By The Ocean,DNCE,Dance Pop,2016
367,Don't Let Me Down,The Chainsmokers,Electropop,2016
368,In the Name of Love,Martin Garrix,Big Room,2016
369,Into You,Ariana Grande,Dance Pop,2016
370,This Is What You Came For,Calvin Harris,Dance Pop,2016
371,Million Reasons,Lady Gaga,Dance Pop,2016
372,Needed Me,Rihanna,Barbadian Pop,2016
373,7 Years,Lukas Graham,Danish Pop,2016
374,CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS"),Justin Timberlake,Dance Pop,2016
375,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,Dance Pop,2016
376,Scars To Your Beautiful,Alessia Cara,Canadian Contemporary R&B,2016
377,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Dance Pop,2016
378,Work,Rihanna,Barbadian Pop,2016
379,Stitches,Shawn Mendes,Canadian Pop,2016
381,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,Dance Pop,2016
382,Dangerous Woman,Ariana Grande,Dance Pop,2016
383,Starving,Hailee Steinfeld,Dance Pop,2016
384,Shout Out to My Ex,Little Mix,Dance Pop,2016
385,Electric Love,BØRNS,Electropop,2016
386,Confident,Demi Lovato,Dance Pop,2016
387,Too Good,Drake,Canadian Hip Hop,2016
388,Roses,The Chainsmokers,Electropop,2016
389,Cold Water (feat. Justin Bieber & MØ),Major Lazer,Dance Pop,2016
390,Me Too,Meghan Trainor,Dance Pop,2016
391,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,Dance Pop,2016
392,Ain't Your Mama,Jennifer Lopez,Dance Pop,2016
393,Close,Nick Jonas,Dance Pop,2016
394,Toothbrush,DNCE,Dance Pop,2016
395,All We Know,The Chainsmokers,Electropop,2016
396,Final Song,MØ,Dance Pop,2016
397,Company,Justin Bieber,Canadian Pop,2016
398,Hands To Myself,Selena Gomez,Dance Pop,2016
399,All I Ask,Adele,British Soul,2016
400,Just Like Fire (From the Original Motion Picture "Alice Through The Looking Glass"),P!nk,Dance Pop,2016
401,NO,Meghan Trainor,Dance Pop,2016
402,Kill Em With Kindness,Selena Gomez,Dance Pop,2016
403,Cool Girl,Tove Lo,Dance Pop,2016
404,Runnin' (Lose It All),Naughty Boy,Tropical House,2016
405,Here,Alessia Cara,Canadian Contemporary R&B,2016
406,Perfect Illusion,Lady Gaga,Dance Pop,2016
407,PILLOWTALK,ZAYN,Dance Pop,2016
408,Out Of The Woods,Taylor Swift,Pop,2016
409,Rise,Katy Perry,Dance Pop,2016
410,Wherever I Go,OneRepublic,Dance Pop,2016
411,Body Say,Demi Lovato,Dance Pop,2016
412,Don't Be A Fool,Shawn Mendes,Canadian Pop,2016
413,LIKE I WOULD,ZAYN,Dance Pop,2016
414,Cheap Thrills,Sia,Australian Dance,2016
415,I Got You,Bebe Rexha,Dance Pop,2016
416,Run Away With Me,Carly Rae Jepsen,Canadian Pop,2016
417,Cruel (feat. ZAYN),Snakehips,Dance Pop,2016
418,Send My Love (To Your New Lover),Adele,British Soul,2016
419,WTF (Where They From),Missy Elliott,Dance Pop,2016
420,Desire,Years & Years,Dance Pop,2016
421,When We Were Young,Adele,British Soul,2016
422,I Know What You Did Last Summer,Shawn Mendes,Canadian Pop,2016
423,Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine,Art Pop,2016
424,Hurts,Emeli Sandé,Dance Pop,2016
425,Change,Christina Aguilera,Dance Pop,2016
426,Make Me... (feat. G-Eazy),Britney Spears,Dance Pop,2016
427,Keeping Your Head Up,Birdy,Neo Mellow,2016
428,True Colors,Zedd,Complextro,2016
429,Make Me Like You,Gwen Stefani,Dance Pop,2016
430,Champagne Problems,Nick Jonas,Dance Pop,2016
431,Blown,DNCE,Dance Pop,2016
432,Start,John Legend,Neo Mellow,2016
433,Pep Rally,Missy Elliott,Dance Pop,2016
434,Higher,Carly Rae Jepsen,Canadian Pop,2016
435,Invitation,Britney Spears,Dance Pop,2016
436,One Call Away (feat. Tyga) - Remix,Charlie Puth,Dance Pop,2016
437,Beautiful Birds (feat. Birdy),Passenger,Folk-Pop,2016
438,Little Lies,Hilary Duff,Dance Pop,2016
439,Do You Wanna Come Over?,Britney Spears,Dance Pop,2016
440,BURNITUP!,Janet Jackson,Dance Pop,2016
441,Picky - Remix,Joey Montana,Latin,2016
442,Behind Your Back,Nelly Furtado,Canadian Latin,2016
443,Million Years Ago,Adele,British Soul,2016
444,Shape of You,Ed Sheeran,Pop,2017
445,Closer,The Chainsmokers,Electropop,2017
446,Starboy,The Weeknd,Canadian Contemporary R&B,2017
447,Treat You Better,Shawn Mendes,Canadian Pop,2017
448,That's What I Like,Bruno Mars,Pop,2017
449,Let Me Love You,DJ Snake,Electronic Trap,2017
450,I Feel It Coming,The Weeknd,Canadian Contemporary R&B,2017
451,Mercy,Shawn Mendes,Canadian Pop,2017
452,Side To Side,Ariana Grande,Dance Pop,2017
453,Stay,Zedd,Complextro,2017
454,It Ain't Me (with Selena Gomez),Kygo,Edm,2017
455,Malibu,Miley Cyrus,Dance Pop,2017
456,Something Just Like This,The Chainsmokers,Electropop,2017
457,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Dance Pop,2017
458,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,Dance Pop,2017
459,My Way,Calvin Harris,Dance Pop,2017
461,Praying,Kesha,Dance Pop,2017
462,Despacito - Remix,Luis Fonsi,Latin,2017
463,The Greatest,Sia,Australian Dance,2017
464,There for You,Martin Garrix,Big Room,2017
465,Paris,The Chainsmokers,Electropop,2017
466,Crying in the Club,Camila Cabello,Dance Pop,2017
467,Mama,Jonas Blue,Dance Pop,2017
468,Slide (feat. Frank Ocean & Migos),Calvin Harris,Dance Pop,2017
469,Swish Swish,Katy Perry,Dance Pop,2017
470,Chained To The Rhythm,Katy Perry,Dance Pop,2017
471,Cold (feat. Future),Maroon 5,Pop,2017
472,Love,Lana Del Rey,Art Pop,2017
473,Reggaetón Lento (Remix),CNCO,Boy Band,2017
474,All I Ask,Adele,British Soul,2017
475,First Time,Kygo,Edm,2017
476,The Cure,Lady Gaga,Dance Pop,2017
477,How Far I'll Go - From "Moana",Alessia Cara,Canadian Contemporary R&B,2017
478,Bodak Yellow,Cardi B,Pop,2017
479,Rich Love (with Seeb),OneRepublic,Dance Pop,2017
480,Tired,Alan Walker,Electro House,2017
481,Came Here for Love,Sigala,Dance Pop,2017
482,24K Magic,Bruno Mars,Pop,2017
483,Strip That Down (feat. Quavo),Liam Payne,Dance Pop,2017
484,Cut To The Feeling,Carly Rae Jepsen,Canadian Pop,2017
485,OK - Spotify Version,Robin Schulz,Dance Pop,2017
486,Bon appétit,Katy Perry,Dance Pop,2017
487,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,Art Pop,2017
